,round_epochs,val_loss,val_acc,loss,acc,dropout_input,dropout_hidden,reg,lr,epochs
288,100,2.488018274307251,0.8882235288619995,1.7392699718475342,1.0,0.01,0.27,0.06,0.002096144000826768,100
104,200,2.4538140296936035,0.886227548122406,1.6604028940200806,0.9960052967071533,0.09,0.32,0.1,0.0013572088082974532,200
71,150,3.6370930671691895,0.8822355270385742,2.7684569358825684,1.0,0.0,0.11,0.14,0.0008787639344404101,150
85,150,2.1609840393066406,0.8702594637870789,1.4099069833755493,0.9973368644714355,0.02,0.37,0.08,0.002096144000826768,150
50,150,7.636451244354248,0.8682634830474854,6.773931503295898,0.9873502254486084,0.19,0.32,0.19,0.0005689810202763908,150
184,150,5.4247941970825195,0.8642714619636536,4.6029510498046875,0.9993342161178589,0.11,0.16,0.08,0.0005689810202763908,150
165,200,2.0971839427948,0.8642714619636536,1.2430896759033203,0.9993342161178589,0.08,0.3,0.04,0.0013572088082974532,200
60,150,6.778079032897949,0.8642714619636536,5.89925479888916,0.9973368644714355,0.14,0.2,0.16,0.0005689810202763908,150
147,200,4.785079002380371,0.8622754216194153,4.03734827041626,0.9873502254486084,0.09,0.43,0.1,0.0005689810202763908,200
199,200,1.6332927942276,0.8622754216194153,0.8767557740211487,0.9993342161178589,0.03,0.19,0.05,0.003237394014347626,200
163,150,2.9165585041046143,0.8622754216194153,2.0608155727386475,1.0,0.0,0.16,0.07,0.0008787639344404101,150
161,200,3.1911916732788086,0.8622754216194153,2.3643527030944824,0.9926764369010925,0.12,0.44,0.1,0.0008787639344404101,200
44,200,5.004322052001953,0.8622754216194153,4.311225891113281,0.984687089920044,0.09,0.46,0.11,0.0005689810202763908,200
243,200,2.0099937915802,0.8602794408798218,1.2359397411346436,0.9980026483535767,0.06,0.37,0.07,0.002096144000826768,200
186,150,7.435434341430664,0.8582834601402283,6.564396858215332,0.9980026483535767,0.04,0.23,0.21,0.0005689810202763908,150
143,150,3.0823347568511963,0.8542914390563965,2.518939971923828,0.9966710805892944,0.05,0.45,0.04,0.0013572088082974532,150
81,200,5.13593864440918,0.8542914390563965,4.225351333618164,1.0,0.02,0.18,0.21,0.0005689810202763908,200
239,200,1.684186339378357,0.8542914390563965,0.8869107961654663,1.0,0.0,0.11,0.04,0.0013572088082974532,200
63,150,3.9736156463623047,0.8522953987121582,3.0900328159332275,1.0,0.01,0.26,0.16,0.0008787639344404101,150
155,200,6.198328971862793,0.8522953987121582,5.477553367614746,0.959387481212616,0.22,0.41000000000000003,0.25,0.0005689810202763908,200
11,100,6.403692722320557,0.8502994179725647,5.495074272155762,1.0,0.09,0.03,0.12,0.0008787639344404101,100
233,100,6.785295486450195,0.8502994179725647,6.118857383728027,0.9753661751747131,0.12,0.41000000000000003,0.15,0.0008787639344404101,100
105,200,2.2522823810577393,0.8502994179725647,1.3549044132232666,1.0,0.01,0.08,0.09,0.0013572088082974532,200
66,200,3.207958698272705,0.8483033776283264,2.2671892642974854,1.0,0.06,0.01,0.13,0.0008787639344404101,200
107,100,6.941987037658691,0.8483033776283264,6.265171051025391,0.9813581705093384,0.25,0.3,0.11,0.0008787639344404101,100
269,100,5.398682594299316,0.8463073968887329,4.576350212097168,0.9900133013725281,0.25,0.06,0.23,0.0013572088082974532,100
31,150,3.8416121006011963,0.8443113565444946,2.8746225833892822,1.0,0.11,0.03,0.12,0.0008787639344404101,150
126,200,5.285671710968018,0.8443113565444946,4.338045120239258,0.995339572429657,0.2,0.17,0.18,0.0005689810202763908,200
112,200,2.511213779449463,0.8443113565444946,1.7970646619796753,0.9880159497261047,0.04,0.46,0.11,0.0013572088082974532,200
203,150,5.280004501342773,0.8443113565444946,4.367137908935547,1.0,0.06,0.06,0.1,0.0005689810202763908,150
47,200,4.860689163208008,0.8443113565444946,3.9216148853302,0.9946737885475159,0.16,0.29,0.15,0.0005689810202763908,200
289,200,2.440901517868042,0.8423153758049011,1.5841501951217651,1.0,0.01,0.13,0.12,0.0013572088082974532,200
290,150,6.090106964111328,0.8423153758049011,5.365148067474365,0.9980026483535767,0.05,0.26,0.09,0.0005689810202763908,150
257,150,4.674454689025879,0.8423153758049011,3.788745880126953,0.9800266027450562,0.23,0.41000000000000003,0.15,0.0008787639344404101,150
145,150,7.792412281036377,0.8423153758049011,6.8960490226745605,0.9973368644714355,0.17,0.16,0.23,0.0005689810202763908,150
113,100,8.206127166748047,0.8403193354606628,7.433770179748535,0.9760319590568542,0.13,0.36,0.25,0.0008787639344404101,100
137,200,8.960232734680176,0.8403193354606628,8.02148723602295,1.0,0.05,0.06,0.21,0.00036840314986403866,200
138,200,3.289080858230591,0.8403193354606628,2.3200418949127197,1.0,0.13,0.04,0.05,0.0005689810202763908,200
210,200,2.7385215759277344,0.8403193354606628,1.9280586242675781,0.9933422207832336,0.09,0.28,0.14,0.0013572088082974532,200
1,200,2.91282057762146,0.8383233547210693,2.0255963802337646,1.0,0.08,0.01,0.14,0.0013572088082974532,200
152,100,13.07894515991211,0.8383233547210693,12.469575881958008,0.9973368644714355,0.05,0.15,0.18,0.0005689810202763908,100
93,200,4.527968406677246,0.8383233547210693,3.6084535121917725,0.9926764369010925,0.23,0.3,0.08,0.0005689810202763908,200
41,100,7.375796318054199,0.8363273739814758,6.468976020812988,0.9986684322357178,0.17,0.03,0.19,0.0008787639344404101,100
33,150,3.65824294090271,0.8363273739814758,2.71258544921875,0.9973368644714355,0.11,0.24,0.11,0.0008787639344404101,150
296,150,3.6897473335266113,0.8363273739814758,2.889591932296753,0.9973368644714355,0.15,0.1,0.2,0.0013572088082974532,150
123,200,3.96081280708313,0.8363273739814758,3.1329758167266846,0.9986684322357178,0.16,0.06,0.22,0.0008787639344404101,200
291,150,19.536773681640625,0.8343313336372375,19.29257583618164,0.9513981342315674,0.13,0.42,0.2,0.00036840314986403866,150
29,150,3.2428112030029297,0.8343313336372375,2.3710696697235107,0.9833555221557617,0.22,0.33,0.13,0.0013572088082974532,150
278,200,3.6827168464660645,0.8343313336372375,2.756519317626953,0.9860186576843262,0.19,0.42,0.13,0.0008787639344404101,200
259,150,3.348647356033325,0.8303393125534058,2.6393284797668457,0.9880159497261047,0.1,0.33,0.18,0.0013572088082974532,150
201,200,2.9918181896209717,0.8303393125534058,2.1369762420654297,1.0,0.07,0.05,0.17,0.0013572088082974532,200
247,200,2.7639360427856445,0.8283433318138123,1.8416531085968018,0.9873502254486084,0.24,0.3,0.1,0.0013572088082974532,200
281,150,7.6313323974609375,0.8283433318138123,6.734613418579102,0.9860186576843262,0.18,0.34,0.19,0.0005689810202763908,150
129,150,2.8289527893066406,0.826347291469574,1.882971167564392,0.9960052967071533,0.18,0.27,0.08,0.0013572088082974532,150
59,200,2.296494245529175,0.826347291469574,1.6298692226409912,0.9826897382736206,0.08,0.5,0.09,0.002096144000826768,200
258,200,3.1513943672180176,0.826347291469574,2.4012210369110107,0.9940080046653748,0.08,0.06,0.23,0.002096144000826768,200
297,200,2.3115429878234863,0.826347291469574,1.483677864074707,0.9993342161178589,0.0,0.34,0.1,0.0013572088082974532,200
0,150,2.1376290321350098,0.8243513107299805,1.3777188062667847,0.9966710805892944,0.03,0.31,0.08,0.002096144000826768,150
12,150,2.1358249187469482,0.8203592896461487,1.3726460933685303,1.0,0.0,0.34,0.08,0.002096144000826768,150
193,100,6.909127712249756,0.8203592896461487,6.4818525314331055,0.989347517490387,0.07,0.35000000000000003,0.07,0.0008787639344404101,100
204,150,4.759802341461182,0.8203592896461487,4.037293434143066,0.974700391292572,0.02,0.46,0.21,0.0008787639344404101,150
101,200,2.397448778152466,0.8203592896461487,1.4090124368667603,1.0,0.17,0.07,0.06,0.0013572088082974532,200
146,100,3.223986864089966,0.8183632493019104,2.42889142036438,0.9946737885475159,0.0,0.29,0.19,0.002096144000826768,100
83,200,3.345433235168457,0.8183632493019104,2.7114834785461426,0.9633821845054626,0.04,0.41000000000000003,0.25,0.0013572088082974532,200
55,100,3.1372814178466797,0.8163672685623169,2.3125839233398438,0.989347517490387,0.16,0.4,0.05,0.002096144000826768,100
30,200,5.204643249511719,0.8163672685623169,4.298388957977295,0.9980026483535767,0.21,0.13,0.2,0.0005689810202763908,200
82,100,7.054391860961914,0.8163672685623169,6.311335563659668,0.9693741798400879,0.21,0.37,0.15,0.0008787639344404101,100
40,150,2.973783254623413,0.8143712282180786,2.2120940685272217,0.9873502254486084,0.11,0.2,0.17,0.002096144000826768,150
131,100,13.894357681274414,0.8123752474784851,13.217657089233398,0.9966710805892944,0.19,0.08,0.18,0.0005689810202763908,100
214,100,6.450472831726074,0.8123752474784851,5.889298915863037,0.9900133013725281,0.07,0.36,0.1,0.0008787639344404101,100
252,100,6.443778991699219,0.8123752474784851,5.932460308074951,0.9900133013725281,0.21,0.27,0.07,0.0008787639344404101,100
215,150,3.2721259593963623,0.8123752474784851,2.601832628250122,0.9667110443115234,0.19,0.26,0.2,0.002096144000826768,150
211,150,3.1749074459075928,0.8103792667388916,2.1720316410064697,0.9973368644714355,0.18,0.06,0.1,0.0013572088082974532,150
45,100,3.0493013858795166,0.8103792667388916,2.4075515270233154,0.9753661751747131,0.04,0.5,0.06,0.002096144000826768,100
224,100,18.220781326293945,0.8083832263946533,18.0936279296875,0.9347536563873291,0.22,0.4,0.22,0.0005689810202763908,100
276,150,6.328044891357422,0.8083832263946533,5.404073715209961,0.9966710805892944,0.18,0.16,0.13,0.0005689810202763908,150
220,150,3.432318687438965,0.8063872456550598,2.6393330097198486,0.9960052967071533,0.01,0.26,0.22,0.0013572088082974532,150
254,150,2.3751800060272217,0.8063872456550598,1.5101529359817505,0.9906790852546692,0.14,0.34,0.07,0.002096144000826768,150
168,100,3.098142147064209,0.8063872456550598,2.471578598022461,0.9980026483535767,0.05,0.14,0.03,0.0013572088082974532,100
221,100,3.6006531715393066,0.8063872456550598,2.727196216583252,0.9933422207832336,0.15,0.13,0.15,0.002096144000826768,100
176,150,3.685067892074585,0.8063872456550598,3.0348117351531982,0.9720372557640076,0.04,0.39,0.25,0.0013572088082974532,150
54,150,19.534786224365234,0.8043912053108215,19.19645881652832,0.9707057476043701,0.22,0.35000000000000003,0.19,0.00036840314986403866,150
98,150,2.8095779418945312,0.8043912053108215,2.0498154163360596,0.9913448691368103,0.06,0.26,0.17,0.002096144000826768,150
262,200,2.2990565299987793,0.8043912053108215,1.4175037145614624,0.9966710805892944,0.13,0.17,0.08,0.002096144000826768,200
263,100,7.337701797485352,0.8043912053108215,6.7033491134643555,0.9540612697601318,0.19,0.43,0.16,0.0008787639344404101,100
196,150,3.7864584922790527,0.8043912053108215,3.1778979301452637,0.9653794765472412,0.15,0.34,0.24,0.0013572088082974532,150
144,150,7.37369966506958,0.8003991842269897,6.574500560760498,0.9806923866271973,0.16,0.38,0.16,0.0005689810202763908,150
78,150,3.061664581298828,0.8003991842269897,2.004850387573242,0.9980026483535767,0.25,0.02,0.07,0.0013572088082974532,150
172,150,18.433361053466797,0.8003991842269897,17.993101119995117,0.9806923866271973,0.09,0.31,0.22,0.00036840314986403866,150
216,100,2.2001218795776367,0.7984032034873962,1.3970773220062256,0.9980026483535767,0.07,0.21,0.06,0.003237394014347626,100
8,150,3.961517333984375,0.7984032034873962,3.117093801498413,0.9926764369010925,0.25,0.05,0.19,0.0013572088082974532,150
185,150,14.598657608032227,0.796407163143158,14.0570068359375,0.995339572429657,0.06,0.22,0.15,0.00036840314986403866,150
154,100,13.354890823364258,0.796407163143158,12.777549743652344,0.9853528738021851,0.19,0.21,0.15,0.0005689810202763908,100
95,200,3.406045913696289,0.796407163143158,2.8431835174560547,0.9993342161178589,0.03,0.3,0.02,0.0008787639344404101,200
198,200,2.7333812713623047,0.7944111824035645,1.915832281112671,0.9727030396461487,0.23,0.48,0.09,0.002096144000826768,200
241,150,21.76331329345703,0.7904191613197327,21.654010772705078,0.9167776107788086,0.09,0.48,0.2,0.00036840314986403866,150
265,200,2.803887367248535,0.7904191613197327,1.853685736656189,0.9973368644714355,0.2,0.06,0.1,0.0013572088082974532,200
219,100,2.2073123455047607,0.7904191613197327,1.6022837162017822,0.9886817336082458,0.01,0.42,0.05,0.004999999999999999,100
116,200,3.067502021789551,0.7904191613197327,2.2938294410705566,0.9920106530189514,0.03,0.28,0.21,0.0013572088082974532,200
237,100,3.2014732360839844,0.7884231805801392,2.595818042755127,0.9553928375244141,0.04,0.4,0.22,0.003237394014347626,100
25,100,2.4897780418395996,0.7884231805801392,1.8494818210601807,0.9687083959579468,0.02,0.34,0.1,0.004999999999999999,100
121,150,3.44760799407959,0.7884231805801392,2.7088754177093506,0.9933422207832336,0.01,0.27,0.23,0.0013572088082974532,150
140,100,2.8303864002227783,0.7884231805801392,2.1042871475219727,0.970039963722229,0.14,0.3,0.12,0.003237394014347626,100
96,150,12.292476654052734,0.7824351191520691,11.84089469909668,0.9760319590568542,0.09,0.41000000000000003,0.06,0.0005689810202763908,150
92,150,22.760658264160156,0.7804391384124756,22.770854949951172,0.9181091785430908,0.19,0.43,0.12,0.00036840314986403866,150
285,100,6.123634338378906,0.7784430980682373,5.26637601852417,0.9920106530189514,0.23,0.13,0.07,0.0008787639344404101,100
108,150,17.781421661376953,0.7784430980682373,17.341983795166016,0.9766977429389954,0.14,0.33,0.21,0.00036840314986403866,150
223,150,2.6889424324035645,0.7764471173286438,1.6988002061843872,0.9940080046653748,0.25,0.2,0.08,0.002096144000826768,150
159,200,28.186668395996094,0.772455096244812,27.88812255859375,0.964047908782959,0.24,0.28,0.2,0.00023853323044733008,200
177,100,3.596334218978882,0.772455096244812,2.8246889114379883,0.9926764369010925,0.06,0.16,0.21,0.002096144000826768,100
240,150,1.6909594535827637,0.7704590559005737,1.0222508907318115,0.9913448691368103,0.02,0.18,0.01,0.004999999999999999,150
217,150,3.8446948528289795,0.7704590559005737,3.2167880535125732,0.9806923866271973,0.17,0.25,0.25,0.0013572088082974532,150
226,200,3.307854175567627,0.7704590559005737,2.557417392730713,0.9660452604293823,0.25,0.18,0.19,0.002096144000826768,200
293,150,4.853699684143066,0.7704590559005737,4.047721862792969,0.9986684322357178,0.23,0.08,0.02,0.0008787639344404101,150
119,200,2.6715939044952393,0.7684630751609802,2.0753345489501953,0.9713715314865112,0.0,0.48,0.17,0.003237394014347626,200
14,200,21.22720718383789,0.7664670944213867,20.58694076538086,0.9980026483535767,0.09,0.09,0.17,0.00023853323044733008,200
37,100,3.687112331390381,0.7644710540771484,3.346257448196411,0.7922769784927368,0.24,0.35000000000000003,0.25,0.002096144000826768,100
200,100,14.588107109069824,0.7624750733375549,13.934727668762207,0.9946737885475159,0.18,0.13,0.2,0.0005689810202763908,100
270,100,6.221274375915527,0.7624750733375549,5.156733512878418,0.9926764369010925,0.25,0.06,0.07,0.0008787639344404101,100
2,150,2.8250741958618164,0.7624750733375549,2.0394463539123535,0.9607190489768982,0.21,0.41000000000000003,0.1,0.002096144000826768,150
64,200,3.149829626083374,0.7604790329933167,2.4081709384918213,0.9813581705093384,0.14,0.0,0.21,0.002096144000826768,200
34,200,2.8906760215759277,0.7584830522537231,2.055530548095703,0.9860186576843262,0.24,0.16,0.13,0.002096144000826768,200
120,150,14.85207748413086,0.7584830522537231,14.365167617797852,0.9940080046653748,0.12,0.18,0.09,0.00036840314986403866,150
56,100,3.4156737327575684,0.7564870119094849,2.7722771167755127,0.9227696657180786,0.22,0.41000000000000003,0.14,0.002096144000826768,100
292,100,3.6500468254089355,0.7564870119094849,3.008510112762451,0.9647136926651001,0.1,0.29,0.23,0.002096144000826768,100
235,150,2.3800318241119385,0.7504990100860596,1.3397784233093262,0.9993342161178589,0.22,0.05,0.02,0.0013572088082974532,150
46,200,2.689391851425171,0.7504990100860596,2.203482151031494,0.9254327416419983,0.08,0.47000000000000003,0.13,0.003237394014347626,200
277,150,3.484628200531006,0.7504990100860596,2.8520843982696533,0.923435389995575,0.21,0.3,0.23,0.002096144000826768,150
213,100,4.27855110168457,0.7485029697418213,3.585808753967285,0.9727030396461487,0.25,0.08,0.24,0.002096144000826768,100
36,100,5.474732875823975,0.7485029697418213,5.063129425048828,0.9766977429389954,0.17,0.42,0.04,0.0013572088082974532,100
266,200,32.49560546875,0.7465069890022278,32.554412841796875,0.9061251878738403,0.25,0.39,0.16,0.00023853323044733008,200
87,100,3.282808780670166,0.7465069890022278,2.7861785888671875,0.8754993081092834,0.2,0.37,0.18,0.003237394014347626,100
273,100,3.64827823638916,0.7445109486579895,2.845062494277954,0.9900133013725281,0.08,0.0,0.18,0.002096144000826768,100
49,150,2.674262285232544,0.7445109486579895,1.9988383054733276,0.9520639181137085,0.11,0.48,0.1,0.003237394014347626,150
86,150,3.093553304672241,0.7385229468345642,2.551750659942627,0.9241011738777161,0.09,0.33,0.22,0.003237394014347626,150
122,200,2.5319793224334717,0.7385229468345642,1.754783272743225,0.9753661751747131,0.13,0.04,0.12,0.004999999999999999,200
114,200,2.617798328399658,0.7345309257507324,1.8980586528778076,0.9573901295661926,0.17,0.47000000000000003,0.07,0.003237394014347626,200
225,100,2.8977925777435303,0.7325349450111389,2.1985015869140625,0.964047908782959,0.01,0.03,0.2,0.004999999999999999,100
284,100,3.202646493911743,0.7285429239273071,2.5695908069610596,0.9387483596801758,0.1,0.48,0.13,0.002096144000826768,100
207,150,27.60228157043457,0.7285429239273071,27.52942657470703,0.934087872505188,0.01,0.49,0.12,0.00036840314986403866,150
4,100,19.1517391204834,0.7265468835830688,19.10528564453125,0.9540612697601318,0.14,0.4,0.12,0.0005689810202763908,100
267,100,3.484779119491577,0.7265468835830688,2.8811404705047607,0.9387483596801758,0.04,0.44,0.21,0.002096144000826768,100
194,150,2.7291314601898193,0.7265468835830688,2.2799570560455322,0.9347536563873291,0.04,0.41000000000000003,0.09,0.004999999999999999,150
195,100,3.0285139083862305,0.7265468835830688,2.259437322616577,0.9880159497261047,0.01,0.16,0.2,0.003237394014347626,100
124,150,2.494717597961426,0.7265468835830688,1.9919817447662354,0.9587216973304749,0.0,0.45,0.08,0.004999999999999999,150
68,100,2.448103427886963,0.7245509028434753,1.6694610118865967,0.974700391292572,0.14,0.04,0.07,0.003237394014347626,100
21,200,2.9828217029571533,0.7245509028434753,2.228933334350586,0.9660452604293823,0.18,0.17,0.16,0.003237394014347626,200
10,200,2.2683041095733643,0.7225548624992371,1.4246346950531006,0.9813581705093384,0.18,0.15,0.07,0.003237394014347626,200
